00_00_0#1_29_29	(3591)
00_00_0#1_24_24	(2582)
00_00_0#1_21_21	(3200)
00_00_0#1_11_11	(election)
00_00_0#1_10_10	(2661)
00_00_0#1_3_3	(1366)
00_00_0#2_32_32	(3427)
00_00_0#2_16_16	(1204)
00_00_0#2_3_3	(1815)
00_00_0#3_13_13	(war)
00_00_0#3_10_10	(999)
00_00_0#3_7_7	(protest)
00_00_0#3_5_5	(80)
00_00_0#3_3_3	(2810)
00_00_0#4_17_17	(vote)
00_00_0#4_12_12	(1487)
00_00_0#4_7_7	(election)
00_00_0#4_4_4	(289)
00_00_0#5_7_7	(election)
00_00_0#5_5_5	(2717)
00_00_0#6_21_21	(17)
00_00_0#6_20_20	(2893)
00_00_0#6_17_17	(election)
00_00_0#7_41_41	(2983)
00_00_0#7_34_34	(3011)
00_00_0#7_26_26	(1952)
00_00_0#7_14_14	(576)
00_00_0#7_3_3	(election)
00_00_0#8_22_22	(2813)
00_00_0#8_17_17	(vote)
00_00_0#8_15_15	(2052)
00_00_0#8_9_9	(election)
00_00_1#1_12_12	(3105)
00_00_1#1_7_7	(war)
00_00_1#1_2_2	(1457)
00_00_1#2_22_22	(1110)
00_00_1#2_16_16	(1993)
00_00_1#2_14_14	(2584)
00_00_1#3_18_18	(250)
00_00_1#5_23_23	(866)
00_00_1#5_6_6	(1369)
00_00_1#6_27_27	(261)
00_00_1#6_25_25	(1608)
00_00_1#6_19_19	(2527)
00_00_1#6_11_11	(3594)
00_00_1#6_4_4	(236)
00_00_1#6_0_0	(3107)
00_00_1#7_13_13	(1029)
00_00_1#7_6_6	(3596)
00_00_1#7_0_0	(524)
00_00_1#8_12_12	(1406)
00_00_1#9_25_25	(2576)
00_00_1#9_19_19	(2922)
00_00_1#9_16_16	(401)
00_00_1#9_4_4	(3208)
00_00_1#10_19_19	(1382)
00_00_1#10_14_14	(2479)
00_00_1#11_25_25	(999)
00_00_1#12_20_20	(vote)
00_00_1#12_12_12	(289)
00_00_10#1_31_31	(2803)
00_00_10#1_29_29	(923)
00_00_10#1_28_28	(1251)
00_00_10#1_6_6	(2091)
00_00_10#1_2_2	(1667)
00_00_10#3_13_13	(565)
00_00_10#3_7_7	(3809)
00_00_10#3_4_4	(vote)
00_00_10#4_9_9	(82)
00_00_10#4_3_3	(election)
00_00_10#5_27_27	(964)
00_00_10#5_18_18	(4447)
00_00_10#5_15_15	(845)
00_00_10#5_2_2	(1145)
00_00_10#6_2_2	(1372)
00_00_10#7_12_12	(vote)
00_00_10#7_5_5	(1608)
00_00_10#7_3_3	(321)
00_00_10#8_27_27	(2174)
00_00_10#8_21_21	(vote)
00_00_10#8_13_13	(election)
00_00_10#8_7_7	(244)
00_00_10#8_5_5	(3953)
00_00_10#9_15_15	(vote)
00_00_10#9_4_4	(324)
00_00_10#10_3_3	(1366)
00_00_10#11_29_29	(4057)
00_00_10#11_5_5	(election)
00_00_10#12_19_19	(330)
00_00_10#12_3_3	(2044)
00_00_10#13_35_35	(1209)
00_00_10#13_28_28	(4059)
00_00_10#13_20_20	(1599)
00_00_10#13_9_9	(1796)
00_00_10#14_10_10	(330)
00_00_10#14_5_5	(2974)
00_00_10#15_21_21	(4063)
00_00_10#15_15_15	(80)
00_00_10#15_6_6	(protest)
00_00_10#15_4_4	(4061)
00_00_10#15_2_2	(330)
00_00_10#16_11_11	(330)
00_00_10#17_14_14	(election)
00_00_10#17_4_4	(2557)
00_00_10#18_16_16	(1103)
00_00_100#1_36_36	(4578)
00_00_100#1_17_17	(1421)
00_00_100#1_14_14	(election)
00_00_100#1_11_11	(1849)
00_00_100#2_13_13	(1045)
00_00_100#2_11_11	(2345)
00_00_100#2_3_3	(2754)
00_00_100#3_14_14	(3400)
00_00_100#3_10_10	(295)
00_00_100#4_30_30	(vote)
00_00_100#4_28_28	(353)
00_00_100#4_22_22	(-1)
00_00_100#4_12_12	(295)
00_00_100#5_4_4	(2848)
00_00_100#6_24_24	(1283)
00_00_100#6_0_0	(1032)
00_00_100#7_20_20	(2532)
00_00_100#7_11_11	(3401)
00_00_100#8_28_28	(1762)
